Test Epoch 1, Loss: 3.1634, Accuracy: 0.1850
Test Epoch 2, Loss: 1.3762, Accuracy: 0.3152
Test Epoch 3, Loss: 0.8487, Accuracy: 0.3589
Test Epoch 4, Loss: 0.5706, Accuracy: 0.4398
Test Epoch 5, Loss: 0.5392, Accuracy: 0.4554
Test Epoch 6, Loss: 0.3854, Accuracy: 0.5334
Test Epoch 7, Loss: 0.3267, Accuracy: 0.5673
Test Epoch 8, Loss: 0.2973, Accuracy: 0.5988
Test Epoch 9, Loss: 0.2141, Accuracy: 0.6215
Test Epoch 10, Loss: 0.1969, Accuracy: 0.6620
Test Epoch 11, Loss: 0.1682, Accuracy: 0.7199
Test Epoch 12, Loss: 0.2154, Accuracy: 0.7088
Test Epoch 13, Loss: 0.1894, Accuracy: 0.7049
Test Epoch 14, Loss: 0.1745, Accuracy: 0.7413
Test Epoch 15, Loss: 0.1747, Accuracy: 0.7543
Test Epoch 16, Loss: 0.1447, Accuracy: 0.7817
Test Epoch 17, Loss: 0.1701, Accuracy: 0.7928
Test Epoch 18, Loss: 0.1205, Accuracy: 0.8409
Test Epoch 19, Loss: 0.1190, Accuracy: 0.7889
Test Epoch 20, Loss: 0.1144, Accuracy: 0.8430
Test Epoch 21, Loss: 0.1291, Accuracy: 0.8176
Test Epoch 22, Loss: 0.0977, Accuracy: 0.8474
Test Epoch 23, Loss: 0.1372, Accuracy: 0.8683
Test Epoch 24, Loss: 0.1432, Accuracy: 0.8521
Test Epoch 25, Loss: 0.0990, Accuracy: 0.8932
Test Epoch 26, Loss: 0.2755, Accuracy: 0.7545
Test Epoch 27, Loss: 0.1607, Accuracy: 0.8456
Test Epoch 28, Loss: 0.0883, Accuracy: 0.9245
Test Epoch 29, Loss: 0.1727, Accuracy: 0.8828
Test Epoch 30, Loss: 0.1027, Accuracy: 0.8665
Test Epoch 31, Loss: 0.1043, Accuracy: 0.8737
Test Epoch 32, Loss: 0.0852, Accuracy: 0.9081
Test Epoch 33, Loss: 0.1709, Accuracy: 0.8411
Test Epoch 34, Loss: 0.1196, Accuracy: 0.9180
Test Epoch 35, Loss: 0.0774, Accuracy: 0.8997
Test Epoch 36, Loss: 0.2133, Accuracy: 0.8207
Test Epoch 37, Loss: 0.0780, Accuracy: 0.9115
Test Epoch 38, Loss: 0.1345, Accuracy: 0.9015
Test Epoch 39, Loss: 0.1135, Accuracy: 0.9238
Test Epoch 40, Loss: 0.1821, Accuracy: 0.9206
Test Epoch 41, Loss: 0.3561, Accuracy: 0.9010
Test Epoch 42, Loss: 0.0849, Accuracy: 0.8912
Test Epoch 43, Loss: 0.0913, Accuracy: 0.9089
Test Epoch 44, Loss: 0.1117, Accuracy: 0.9381
Test Epoch 45, Loss: 0.0412, Accuracy: 0.9303
Test Epoch 46, Loss: 0.0912, Accuracy: 0.9362
Test Epoch 47, Loss: 0.0928, Accuracy: 0.9212
Test Epoch 48, Loss: 0.2944, Accuracy: 0.8235
Test Epoch 49, Loss: 0.1639, Accuracy: 0.9133
Test Epoch 50, Loss: 0.0657, Accuracy: 0.9336
Test Result, Loss: 0.0890, Accuracy: 0.9232
