Test Epoch 1, Loss: 0.4586, Accuracy: 0.4308
Test Epoch 2, Loss: 0.1364, Accuracy: 0.6121
Test Epoch 3, Loss: 0.1304, Accuracy: 0.6742
Test Epoch 4, Loss: 0.0457, Accuracy: 0.7850
Test Epoch 5, Loss: 0.0825, Accuracy: 0.7596
Test Epoch 6, Loss: 0.0256, Accuracy: 0.8896
Test Epoch 7, Loss: 0.0367, Accuracy: 0.8721
Test Epoch 8, Loss: 0.0263, Accuracy: 0.9012
Test Epoch 9, Loss: 0.0300, Accuracy: 0.9142
Test Epoch 10, Loss: 0.0325, Accuracy: 0.9062
Test Epoch 11, Loss: 0.1059, Accuracy: 0.7275
Test Epoch 12, Loss: 0.0205, Accuracy: 0.9250
Test Epoch 13, Loss: 0.0252, Accuracy: 0.9100
Test Epoch 14, Loss: 0.0160, Accuracy: 0.9421
Test Epoch 15, Loss: 0.0194, Accuracy: 0.9396
Test Epoch 16, Loss: 0.0211, Accuracy: 0.9487
Test Epoch 17, Loss: 0.0356, Accuracy: 0.9258
Test Epoch 18, Loss: 0.0148, Accuracy: 0.9637
Test Epoch 19, Loss: 0.0174, Accuracy: 0.9408
Test Epoch 20, Loss: 0.0202, Accuracy: 0.9337
Test Result, Loss: 0.0248, Accuracy: 0.9287
